ad,sehir,ulke,hikaye,puan,resim_url
Olympos Antik Kenti Ormanları,Antalya,Türkiye,"Gündüzleri doğanın kalbi olan bu orman, gece çöktüğünde antik korsanların ve kanlı ayinler yapmış Likyalı rahiplerin ruhsal av sahasına dönüşür. Zifiri karanlıkta devasa sarmaşıkların sardığı harabelerin arasından geçerken, ağaçların fısıldadığını duyar ve görünmez mızrakların auranızı delip geçen o ilkel, ürkütücü enerjisiyle adımlarınızı hızlandırırsınız.",4,
Karahan Tepe Astral Kazı Alanı,Şanlıurfa,Türkiye,"Göbeklitepe'den bile daha eski ve daha vahşi bir enerjiye sahip bu alan, insan bilincinin en karanlık köklerine inen bir şamanik portaldır. Gece yarısı devasa taş başların olduğu çukurlara yaklaştığınızda, binlerce yıl öncesinin kanlı ritüellerinden arta kalan o yoğun majikal frekans nefesinizi keser; boyutlar arası varlıkların alanda hala aktif olarak nöbet tuttuğunu hissedersiniz.",5,
Soğanlı Vadisi Harabeleri,Kayseri,Türkiye,"Peribacalarının içine oyulmuş yüzlerce terk edilmiş kilise ve manastırın bulunduğu bu ölümcül sessizlikteki vadi, yoğun bir psişik karantina bölgesi gibidir. Karanlık çöktüğünde kayaların içinden gelen duaların uğultusu ve vadi boyunca esen rüzgarın taşıdığı o eski, küf kokulu ölüm enerjisi, en korunaklı ziyaretçilerin bile zihinsel kalkanlarını paramparça eder.",4,"images/soganli-vadisi-harabeleri-tabirly-1.png, images/soganli-vadisi-harabeleri-tabirly-2.png"
Kilitbahir Kalesi Zindanları,Çanakkale,Türkiye,"Boğazın en dar noktasına kurulan bu yonca planlı kalenin rutubetli ve ışıksız alt katmanlarında, yüzyıllar boyunca hapsedilmiş esirlerin kederi duvarlara adeta kan gibi işlemiştir. Zindanlara adım attığınız anda boğazınıza oturan o devasa yumru, karanlıkta çınlayan zincir sesleri ve bedensiz iniltiler, buranın astral boyutta hala aktif bir hapishane olduğunu gösterir.",4,
İnsuyu Mağarası Dehlizleri,Burdur,Türkiye,"Derinliklerinde göllerin bulunduğu bu devasa yeraltı boşluğu, aslında yeraltı elementallerinin ve kadim su ruhlarının sığınağıdır. İnsanın girmeye cesaret edemediği karanlık kollardan gelen suyun yankısı, zihinde fısıltılara ve hipnotik çağrılara dönüşür; mağaranın o ezici ve soğuk karanlığı, ziyaretçiyi yavaş yavaş kendi içine, adeta ruhsal bir komaya çekmek ister.",4,
Sagassos Antik Kenti,Burdur,Türkiye,"Torosların bulutlara değen zirvelerinde, dağların acımasız ruhlarına emanet edilmiş bu izole antik kentte zaman tamamen durmuştur. Geceleri sislerin arasından beliren devasa agorada durduğunuzda, binlerce yıl önce burada yaşamış insanların hala o meydanda toplandığını ve rüzgarın taşıdığı o görünmez, devasa kolektif bilincin auranıza çarptığını iliklerinize kadar hissedersiniz.",5,
Tarsus'taki Gizemli Kazı Evi (Kırmızı Ev),Mersin,Türkiye,"İnternet dünyasını yıllarca meşgul eden, aylarca mavi brandalarla kapatılarak gizli kazıların yapıldığı meşhur ev. Forumlardaki sayısız komplo teorisine göre, bu evin altında devasa bir yıldız geçidi (astral portal) veya kadim bir cin padişahının mühürlü hazinesi yatıyordu. Alana yaklaşanların kameralarının bozulduğu, gece yarıları evden tuhaf frekanslı uğultuların yayıldığı ve içerideki enerjinin dışarıdaki gerçekliği büktüğü hala en çok konuşulan efsaneler arasındadır.",5,
Bakırköy İncirli Perili Köşk,İstanbul,Türkiye,"Ekşi Sözlük'te ve paranormal forumlarda hakkında yüzlerce sayfa yazılan, İstanbul'un en popüler şehir efsanelerinden biridir. Gece yarısından sonra köşkün pencerelerinde kaynağı belirsiz kırmızı ışıkların yandığı, içeriden eşya kırılma ve boğuk kadın çığlıklarının geldiği defalarca iddia edilmiştir. O dönemde binaya girmeye cesaret edenlerin çoğu, havada asılı kalan karanlık silüetler gördüklerini ve auralarında günlerce geçmeyen bir ağırlık hissettiklerini anlatır.",4,
Eski Edirne Askeri Hastanesi Harabesi,Edirne,Türkiye,"Balkan Savaşları sırasında on binlerce yaralı askerin son nefesini verdiği bu devasa harabe, internet gezginleri tarafından 'Türkiye'nin en ağır auralı yeri' olarak tanımlanır. Bloglarda ve videolarda, dolunaylı gecelerde harabelerin arasından anestezi olmadan ameliyat edilen askerlerin acı dolu feryatlarının ve postalların yankılandığı anlatılır; buradaki yoğun keder ve ölüm enerjisi insanın göğsünü bir mengene gibi sıkar.",5,
Haritadan Silinen 11. Köy,Bilecik,Türkiye,"Korku forumlarında ve deep web'in Türkiye ayağında sıkça muhabbeti dönen, resmi haritalardan kaldırıldığı iddia edilen karanlık bir yerleşkedir. Anlatılanlara göre köy, yanlış yapılan bir okült ritüeli sonucu boyut dışı karanlık varlıkların (ifritlerin) istilasına uğramış ve bir gecede terk edilmiştir. Burayı bulmak için ormana giren maceracıların pillerinin aniden bittiği ve sürekli izlendikleri hissiyle panik atak geçirdikleri en popüler internet efsanelerindendir.",5,
Bulak Mencilis Mağarası Dehlizleri,Karabük,Türkiye,"Sadece ilk birkaç kilometresi haritalanabilmiş, karanlık derinliklerinin nereye vardığı bilinmeyen devasa bir yeraltı labirentidir. Doğa sporcularının forumlarında, mağaranın insan girmeyen derinliklerine inildiğinde kadim ve bilinmeyen bir dilde fısıltıların duyulduğu çokça konuşulur. Işıkların kendiliğinden söndüğü ve zifiri karanlıkta alt boyut elementallerinin onları izlediği iddiaları burayı oldukça tekinsiz bir hale getirir.",4,
Ankara Keçiören'deki Cinli Ev,Ankara,Türkiye,"Yıllarca forumlarda ve medyanın gündeminde kalan, yıkımı sırasında kepçelerin kırıldığı ve işçilerin korkudan kaçtığı iddia edilen efsanevi yapı. İnternetteki sayısız komplo teorisine göre bu alanın altından eski bir mezarlık geçmektedir. Boş evden gelen çocuk ağlamaları ve eşya sürüklenme sesleri, bu binanın internetin en popüler korku mitlerinden biri olmasını sağlamıştır.",5,
YTÜ Davutpaşa Kampüsü (Eski Kışla),İstanbul,Türkiye,"Öğrenci forumlarının ve sözlüklerin en popüler hayalet hikayesidir. Eski bir askeri kışla olan bu kampüsün ıssız bölgelerinde, özellikle tarihi fırının etrafında geceleri postalların rap rap yürüyüş seslerinin ve boğuk komutan emirlerinin yankılandığı anlatılır. Boyutlar arası enerjinin burada zamanı büktüğü ve eski askerlerin ruhlarının hala nöbet tuttuğu iddia edilir.",4,
Kayseri Mimarsinan Poltergeist Vakası,Kayseri,Türkiye,"Sadece forumlarda değil, haber bültenlerinde bile günlerce tartışılan, Türkiye'nin en bilinen 'poltergeist' (gürültücü ruh) olaylarından biridir. Eşyaların durduk yere alev aldığı, taşların havada uçuştuğu ve apartman sakinlerinin korkudan bahçeye çadır kurduğu bu vaka, alt boyut varlıklarının fiziksel dünyamıza bu denli net ve agresif bir şekilde müdahale ettiği ender paranormal dosyalardandır.",5,
İzmir Tınaztepe'nin Beyazlı Kadını,İzmir,Türkiye,"Ekşi Sözlük'te ve korku bloglarında hakkında onlarca sayfa yazılan, yıllanmış bir şehir efsanesidir. Issız Tınaztepe kampüs yolunda geceleri arabalara otostop çeken, arka koltuğa oturduktan sonra dikiz aynasından bakıldığında aniden yok olan melankolik bir kadın silüeti. O an arabayı kaplayan dondurucu soğuk ve yoğun keder enerjisi, efsaneyi yaşayanların ortak anısıdır.",4,
Bolu Yedigöller Fısıltı Ormanı,Bolu,Türkiye,"Doğa ve kamp forumlarının kan donduran, en çok tartışılan gizemlerinden biridir. Ormanın turistik alanlarından uzakta kamp kuranların ortak anlattığına göre; zifiri karanlıkta çadırların etrafında dönen çıplak ayak sesleri duyulur. Gecenin bir yarısı ağaçların arasından kendi isminizin fısıldanması ve ormanın o ezici primal (ilksel) karanlığının auranızı boğması, internetin en ürkütücü kamp mitlerindendir.",4,
Kocaeli Kavaklı Sahili (Gölcük Enkazları),Kocaeli,Türkiye,"1999 depreminin en ağır izlerini taşıyan, sular altında kalmış bu sahil şeridinde, geceleri denizin içinden gelen yardım çığlıkları ve ağlama sesleri duyulduğu, internetteki en trajik efsanelerdendir. Faciada kaybolan bedenlerin ve ani ölümle sarsılan ruhların arafta kaldığı bu fay hattı üzerinde yürürken, insanın göğsünü paramparça eden o tarifsiz keder enerjisi ve aniden düşen hava sıcaklığı auranızı tamamen dondurur.",5,
Mersin Kanlıdivane (Canytelis),Mersin,Türkiye,"Antik çağlarda ağır suçluların içine atılıp vahşi hayvanlara yem edildiği bu devasa kan kırmızısı obruk, Anadolu'nun en ağır auralı ölüm çukurlarından biridir. İnternet forumlarında, obruğun dibindeki karanlık mağaralardan hala parçalanan insanların feryatlarının yankılandığı anlatılır. Kanlıdivane'nin etrafında durduğunuzda, yüzyıllarca buraya akmış kanın ve vahşetin o paslı, genzi yakan enerjisini fiziksel bir bulantı olarak hissedersiniz.",5,
Kastamonu Ilgarini Mağarası,Kastamonu,Türkiye,"Küre Dağları'nın ıssız ormanlarında saklanan ve içinde antik Roma dönemine ait lahitlerin bulunduğu bu devasa yeraltı labirenti, deep web macera bloglarının favorilerindendir. Zifiri karanlıkta binlerce yıllık mezarların arasında yürürken, sönen fenerler ve dehlizlerden esen dondurucu rüzgarların taşıdığı o kadim, bedensiz fısıltılar; burada yatan ruhların izinsiz girenleri asla hoş karşılamadığının kanıtıdır.",5,
Hatay Beşikli Mağara (Kral Mezarları),Hatay,Türkiye,"Seleukeia Pieria antik kentinin kalbinde yer alan, kayalara oyulmuş bu görkemli ama bir o kadar da kasvetli ölüm odaları kompleksi. Okült araştırmacıların aktardıklarına göre, yeraltı dünyasının frekansına göre hizalanmış bu mezarlarda geceleri kapı eşiklerinde siyah gölgeler nöbet tutar; mezar odalarına girenlerin zihinlerine dolan antik dillerdeki uğultular, psişik kalkanı zayıf olanları anında transa veya dehşete sürükler.",4,
Sakarya Acarlar Longozu (Su Perileri),Sakarya,Türkiye,"Gündüzleri bir doğa harikası olan bu devasa su basar ormanı, güneş battıktan sonra elementallerin ve karanlık su ruhlarının krallığına dönüşür. Bataklığın derinliklerinden gelen tuhaf ışıklar ve suyu dalgalandıran görünmez devasa kütleler kampçı forumlarında çokça tartışılır. Suyun içine çekme eğiliminde olan o ağır, hipnotik ve melankolik orman enerjisi, insan iradesini yavaş yavaş felç eder.",4,
Balıkesir Sarıkız Tepesi (Kaz Dağları),Balıkesir,Türkiye,"İftiraya uğrayarak dağda ölüme terk edilen ve efsaneye göre ruhu Kaz Dağları'nın zirvelerinde sıkışıp kalan Sarıkız'ın mekanı. Dağcılık forumlarında, sisli kış gecelerinde zirveye yakın yerlerde sarı saçlı bir silüetin kayaların arasında dolaştığı ve yaklaşanları uçurumlara doğru yönlendirdiği konuşulur. Zirvedeki oksijensizliğe karışan o ağır ve hüzünlü dişil enerji, dağın efsanevi aurasını iliklerinize kadar kazır.",4,
Nevşehir Zelve Vadisi,Nevşehir,Türkiye,"Kapadokya'nın en karanlık enerjili ve en son terk edilen bu kaya köyü, sürekli yaşanan ve ardı arkası kesilmeyen açıklanamaz ölümler/kaya düşmeleri nedeniyle boşaltılmıştır. Ezoterik forumlarda, vadinin aslında güçlü bir cin taifesine ait olduğu ve insanların oradan zorla sürüldüğü iddia edilir. Terk edilmiş oyuk pencerelerden size bakan görünmez gözler ve vadide rüzgarın kestiği o keskin, düşmanca enerji auranızı adeta bıçaklar.",5,
Konya Kızören Obruğu,Konya,Türkiye,"İpek Yolu üzerindeki bu ıssız Selçuklu kervansarayının hemen yanındaki dipsiz, simsiyah suyla dolu devasa obruk. Yüzyıllardır kervanların ve yolcuların karanlık sulara çekilip kaybolduğu efsaneleri anlatılır. Suyun yüzeyindeki o zifiri siyahlık ve hiç dalgalanmayan ölü su, alt boyut kapılarının bir aynasıdır; kenarında durduğunuzda sizi o karanlığa atlamaya çağıran devasa ve karanlık bir manyetik çekim hissedersiniz.",4,
Adana Misis Köprüsü,Adana,Türkiye,"Ölümsüzlük iksirinin formülünün rüzgarla uçup sularına karıştığı Ceyhan Nehri üzerindeki bu kadim köprü. Okültistlere göre ölümsüzlük formülü nehre karıştığından beri, Misis'in suları ve köprünün kemerleri yaşam ve ölüm arasındaki ince perdeyi yırtmıştır. Gece yarısı köprüde durduğunuzda nehirden yükselen fısıltılar ve aniden boyutsal bir ağırlığın çökmesi, buradaki suyun hala o kadim tılsımı taşıdığına işarettir.",3,
ODTÜ Mimarlık Fakültesi Stüdyoları,Ankara,Türkiye,"Türkiye'nin en meşhur üniversite şehir efsanelerinden biridir. Geceleri stüdyolarda sabahlayan mimarlık öğrencilerinin anlattığına göre; boş koridorlarda tıkırdayan topuklu ayakkabı sesleri, kendiliğinden devrilen maketler ve asma katlarda beliren siyah silüetler vardır. Sınav stresi ve uykusuzluğun yarattığı o yoğun kolektif kaygı enerjisinin, zamanla binada poltergeist (gürültücü ruh) formunda bir tulpa'ya (düşünce formuna) dönüştüğü iddia edilir.",4,
Bursa Ayvaini Mağarası,Bursa,Türkiye,"Güney Marmara'nın en uzun mağarası olan Ayvaini, derinliklerindeki yeraltı nehri ve zifiri karanlık dehlizleriyle tam bir alt boyut geçididir. İnternetteki doğa sporcularının anlattıklarına göre, mağaranın kilometrelerce derinliğinde dışarıdan gelmesi imkansız olan insan iniltileri ve ritmik davul sesleri yankılanır. Yeraltının o boğucu ve ezici primal karanlığı, insanın tüm korkularını fizikselleştirerek auranıza saldırır.",5,
Aydın Bafa Gölü (Herakleia),Aydın,Türkiye,"Ay tanrıçası Selene'nin çobanı Endymion'u sonsuz uykuya yatırdığı bu mitolojik göl ve harabeler, geceleri ürkütücüdür. Gölde kaybolan antik tapınakların arasından yükselen sis, internet efsanelerine göre aslında gece ritüelleri yapan eski rahiplerin astral formlarıdır. Kayalıkların devasa ve tuhaf şekilleri arasında gezinirken, Ay'ın hipnotik ve delirten o ağır enerjisini tüm çakralarınızda hissedersiniz.",4,
Eskişehir Sivrihisar Kayalıkları,Eskişehir,Türkiye,"İnternet forumlarında az bilinen ama gidenlerin aurasını sarsan bir lokasyon. Ermeni mezarlığının üzerine veya çok yakınına yapıldığı iddia edilen kule ve etrafındaki devasa sarp kayalık bölge. Geceleri rüzgar sesine karışan ağıtlar ve kayaların arasından esen dondurucu hava dalgaları, sürgünde veya acı içinde ölen ruhların zaman çizgisinde asılı kaldığını gösterir; buradaki keder enerjisi nefes almanızı bile zorlaştırır.",3,
Trabzon Şolma Yaylası,Trabzon,Türkiye,"Karadeniz'in sisler içindeki o yeşil cehennemi. Yayla efsanelerine ve internette dönen yerel korku hikayelerine göre, sisin aniden bastırdığı anlarda ormanın içinden 'Cazı' (Karadeniz cadısı) adı verilen boyut dışı varlıkların çığlıkları duyulur. Göz gözü görmeyen o bembeyaz boşluğun içinde kaybolduğunuzda, doğanın sizi yutmak isteyen o vahşi ve acımasız ruhsal zekasını, etrafınızda daralan bir çember gibi hissedersiniz.",4,
Gaziantep Rumkale Zindanları,Gaziantep,Türkiye,"Fırat Nehri'nin zümrüt yeşili sularıyla çevrili, sarp kayalıkların üzerine oyulmuş bu devasa ve acımasız kale. Altındaki derin zindanlarda ve gizli su yollarında, Orta Çağ boyunca hapsedilmiş esirlerin çaresizliği yatar. Kara sulara yansıyan kalenin gölgesi altında, geceleri duvarların içinden gelen boğuk kazma sesleri ve bedensiz ağıtlar, Anadolu'nun en ağır ve kanlı tarihlerinden birinin enerjisini doğrudan ruhunuza aktarır.",4,
Waverly Hills Sanatorium,Kentucky,ABD,"Verem hastalarının son nefeslerini verdiği, 60 binden fazla insanın öldüğü bu devasa yapı, adeta ölümün astral bir karargahıdır. 'Ölüm Tüneli' olarak bilinen dehlizlerde yürürken gölge insanlar, aniden düşen sıcaklık ve 'Sürünen Adam' silüeti auranızı ezer.",5,
Trans-Allegheny Lunatic Asylum,West Virginia,ABD,"Binlerce zihinsel hastanın lobotomi ve ağır işkencelerle 'tedavi' edildiği bu gotik tımarhane, deliliğin ve acının duvarlara işlediği bir boyutsal hapishanedir. Karanlık koridorlarında çığlıklar, duvarların içinden gelen fısıltılar ve ağır bir çaresizlik enerjisi ziyaretçileri transa sokar.",5,
Gettysburg Savaş Alanı,Pennsylvania,ABD,"Amerikan İç Savaşı'nın en kanlı cephesi olan bu düzlükte, zaman 1863'te donup kalmıştır. Binlerce askerin bir anda öldüğü bu alana gece çöktüğünde top sesleri, barut kokusu ve hala savaştığını sanan askerlerin bedensiz enerjileri boğucu bir şekilde çöker.",5,
LaLaurie Konağı,Louisiana,ABD,"New Orleans'ın karanlık kalbinde yer alan, Madame LaLaurie'nin kölelerine akıl almaz işkenceler yaptığı bu kanlı konak. Konağın etrafında durduğunuzda bile o saf kötülüğün, işkence gören ruhların hala arafta kilitli kaldığına dair ağır, mide bulandırıcı enerjiyi hissedersiniz.",5,
